"",gene_symbol,GSM5184058,GSM5184059,GSM5184060,GSM5184061,GSM5184062,GSM5184063,GSM5184064,GSM5184065,GSM5184066,GSM5184067,GSM5184068,GSM5184069,GSM5184070,GSM5184071,GSM5184072,GSM5184073,GSM5184074,GSM5184075,GSM5184076,GSM5184077
ENSG00000000003,TSPAN6,275,895,391,646,447,174,570,512,528,297,238,525,217,302,267,202,298,369,349,174
ENSG00000000005,TNMD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419,DPM1,802,735,488,588,641,476,521,471,732,406,802,662,616,562,636,657,672,735,859,538
ENSG00000000457,SCYL3,302,454,456,449,360,184,559,330,622,359,594,751,900,608,694,705,841,796,1326,1094
ENSG00000000460,C1orf112,77,106,63,127,98,58,94,80,144,59,91,101,80,73,84,43,52,121,154,49
ENSG00000000938,FGR,7,14,5,26,41,22,70,77,22,13,13,6,9,14,58,12,63,89,29,23
ENSG00000000971,CFH,73,554,198,596,156,132,208,299,167,253,525,3025,878,1790,1059,651,1626,2505,1449,1220
ENSG00000001036,FUCA2,3614,5053,3585,3850,5422,2467,4146,3647,5223,3863,3088,4029,3072,2591,5110,3762,3463,3306,4406,3232
ENSG00000001084,GCLC,2834,1325,1698,1841,812,349,1505,1188,1728,1646,2680,1012,1817,1470,1276,698,1056,1206,1772,2042
ENSG00000001167,NFYA,1564,927,903,961,556,176,888,659,1344,1018,1533,1372,1400,1199,1128,662,1226,1503,1965,1527
ENSG00000001460,STPG1,993,688,874,821,856,289,768,566,1147,689,1038,557,761,587,757,548,632,548,940,642
ENSG00000001461,NIPAL3,1566,1335,2031,1612,1043,1176,1415,1136,2061,1786,1743,1674,2037,1552,1232,1044,1544,1813,2251,2413
ENSG00000001497,LAS1L,2459,1600,1615,1567,2034,698,1780,1511,2036,1499,2453,1246,1491,1363,1709,1014,1402,1373,1924,1382
ENSG00000001561,ENPP4,1870,1075,1257,1394,783,629,979,562,1214,793,1856,1180,1570,1172,749,1031,888,895,1363,1143
ENSG00000001617,SEMA3F,444,1290,845,742,880,447,730,979,1346,1703,184,1632,441,587,705,571,890,1053,979,1315
ENSG00000001626,CFTR,340,7146,4746,6894,3965,5303,7511,7649,7391,4954,29,992,497,833,1135,657,1006,1391,1187,517
ENSG00000001629,ANKIB1,1592,917,1647,1351,712,469,1250,864,1810,1395,1858,1325,1943,1380,1376,693,1496,1901,2373,2272
ENSG00000001630,CYP51A1,4070,3569,5146,5091,4258,4980,4865,2576,4361,5674,3814,3919,4412,3937,3663,4600,3343,3786,4134,4927
ENSG00000001631,KRIT1,731,530,695,829,456,344,685,434,923,592,732,549,611,500,532,651,624,620,921,723
ENSG00000002016,RAD52,164,127,105,105,90,44,266,71,223,132,173,114,195,104,119,104,125,168,188,264
ENSG00000002330,BAD,2061,2883,2465,2327,2837,2295,2388,2660,2681,2529,1987,2150,1881,1690,2195,2091,1881,1770,2062,1540
ENSG00000002549,LAP3,1403,1353,1032,1360,1322,508,1326,1087,1780,1329,13283,20964,26995,18244,29513,24098,38734,35359,34667,34969
ENSG00000002586,CD99,29119,27911,59756,66029,48460,49796,34424,40316,54744,59081,27518,21117,46708,55309,42640,56921,23662,32352,48636,47677
