"",gene_symbol,GSM4586567,GSM4586568,GSM4586569,GSM4586570,GSM4586571,GSM4586572,GSM4586573,GSM4586574,GSM4586575,GSM4586576,GSM4586577,GSM4586578,GSM4586579,GSM4586580,GSM4586581,GSM4586582,GSM4586583,GSM4586584,GSM4586585,GSM4586586,GSM4586587,GSM4586588,GSM4586589,GSM4586590
ENSG00000000003,TSPAN6,596,832,478,662,596,672,453,811,717,861,554,753,679,785,674,835,542,566,437,643,598,573,466,625
ENSG00000000005,TNMD,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0
ENSG00000000419,DPM1,335,450,569,412,521,547,697,591,371,406,590,371,620,584,1025,623,238,383,493,354,506,459,798,524
ENSG00000000457,SCYL3,174,221,123,230,196,151,147,212,263,194,163,177,246,196,203,214,159,148,108,145,200,186,129,139
ENSG00000000460,C1orf112,61,116,131,152,68,102,116,175,63,106,127,116,85,129,164,140,52,73,82,114,88,113,121,120
ENSG00000000938,FGR,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,3,0
ENSG00000000971,CFH,3781,3829,910,4278,3914,3027,921,5018,4352,2927,858,4534,4396,3515,1370,5842,3336,2544,743,3889,3822,2796,917,4234
ENSG00000001036,FUCA2,2114,1305,1253,2349,2516,1254,1092,2966,2261,1643,1115,2272,2947,1816,1302,2833,1671,1147,947,2162,2373,1338,1263,2401
ENSG00000001084,GCLC,760,676,1510,635,540,718,728,459,863,724,1602,368,864,797,967,618,537,648,1227,371,550,772,684,393
ENSG00000001167,NFYA,731,842,1164,807,754,879,1186,840,729,942,1389,832,825,912,1580,853,531,886,1079,680,705,785,1122,716
ENSG00000001460,STPG1,303,247,164,319,206,202,102,248,298,327,160,279,275,233,117,287,231,255,114,246,209,174,97,214
ENSG00000001461,NIPAL3,1918,2383,835,2362,1054,1911,704,1563,1940,2636,935,1996,1246,2091,1004,1327,1540,2018,898,1886,1210,1508,770,1209
ENSG00000001497,LAS1L,509,664,572,568,624,578,668,776,525,634,634,512,777,749,817,903,397,501,551,414,693,543,617,551
ENSG00000001561,ENPP4,224,405,372,346,263,331,396,395,253,361,413,315,245,408,642,356,258,365,313,371,248,326,515,299
ENSG00000001617,SEMA3F,373,39,226,237,638,126,415,267,431,52,281,224,675,71,396,257,293,69,184,175,603,90,260,176
ENSG00000001626,CFTR,0,1,2,0,0,0,0,0,5,15,5,0,15,5,0,5,0,0,0,0,2,0,0,0
ENSG00000001629,ANKIB1,1730,2168,1453,2127,855,1485,1330,1503,1504,1960,1360,1937,1431,1876,1132,2135,871,1473,1371,1415,1552,1251,1034,1093
ENSG00000001630,CYP51A1,1929,2170,1582,2069,4779,2093,1751,3924,1928,1986,1732,2030,5621,2271,2086,4031,1530,1525,1385,1728,4094,1586,1604,2594
ENSG00000001631,KRIT1,635,763,576,707,676,542,414,587,822,540,647,767,706,648,733,627,476,705,468,502,601,543,644,681
ENSG00000002016,RAD52,128,234,118,288,108,150,110,122,128,244,153,214,88,206,137,141,133,206,168,150,75,127,105,117
ENSG00000002330,BAD,868,449,757,795,983,767,786,1101,1040,904,841,856,1238,957,1066,1151,713,455,710,726,928,779,751,847
ENSG00000002549,LAP3,946,983,916,800,1323,940,958,978,1103,940,954,771,1485,1075,1191,1091,746,833,784,566,1228,811,741,788
ENSG00000002586,CD99,6430,3544,1716,5719,5960,3417,1589,5255,6797,4019,1731,5697,7430,4034,1847,6203,5214,3663,1367,4602,5940,3180,1307,4523
ENSG00000002587,HS3ST1,173,112,143,177,149,188,142,439,124,318,226,229,200,207,286,365,133,233,131,169,107,288,173,271
ENSG00000002726,AOC1,0,2,31,0,0,0,15,0,0,0,36,3,0,3,23,3,0,0,33,0,0,0,20,0
ENSG00000002745,WNT16,0,0,9,0,0,0,9,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,11,0
ENSG00000002746,HECW1,24,92,130,0,0,174,99,12,0,60,184,0,1,116,166,0,7,77,109,0,0,130,211,0
ENSG00000002822,MAD1L1,279,220,1213,303,325,394,929,379,220,338,1305,359,390,335,1234,488,236,247,1179,288,359,269,854,260
ENSG00000002834,LASP1,6594,5121,23037,8174,5105,5122,16008,8300,6669,6579,25041,7827,6124,5563,19956,9304,5138,6139,20020,7277,4652,4476,16070,5807
ENSG00000002919,SNX11,189,250,303,177,217,318,336,248,204,246,288,207,374,388,509,343,200,202,269,127,236,323,358,204
ENSG00000002933,TMEM176A,0,0,5,0,0,0,13,0,0,0,2,0,0,0,10,0,0,0,1,0,0,0,6,0
ENSG00000003056,M6PR,2433,2418,2700,2765,2283,2248,2395,2521,2514,2456,3042,2675,2953,2403,3321,3071,1890,2134,2471,2354,2546,1820,2365,2153
ENSG00000003096,KLHL13,37,162,41,63,80,137,78,181,42,145,36,102,85,174,117,204,24,93,40,64,45,110,88,147
ENSG00000003137,CYP26B1,203,174,424,464,64,135,225,467,200,242,452,464,82,150,294,477,127,210,451,447,61,150,228,292
ENSG00000003147,ICA1,37,75,97,36,146,95,136,64,65,67,82,83,78,113,255,103,43,45,51,45,80,122,154,58
ENSG00000003249,DBNDD1,547,221,279,629,549,443,317,744,620,414,249,546,694,443,435,854,439,372,228,416,477,329,283,479
ENSG00000003393,ALS2,576,2544,1199,723,748,2070,1687,1166,843,1803,1721,878,894,2128,2073,1124,664,2385,1282,786,591,2175,1841,857
ENSG00000003400,CASP10,5,22,108,35,45,42,52,37,5,28,110,25,58,18,24,37,32,19,75,10,41,3,15,38
