"",characteristics,emp2 expression,replicate,emp2.expression.ch1,replicate.ch1
GSM4586567,hypoxia_KD_1,knock down,1,knock down,1
GSM4586568,hypoxia_OE_1,overexpressing,1,overexpressing,1
GSM4586569,hypoxia_VC_1,vector control,1,vector control,1
GSM4586570,hypoxia_WT_1,wild type,1,wild type,1
GSM4586571,normoxia_KD_1,knock down,1,knock down,1
GSM4586572,normoxia_OE_1,overexpressing,1,overexpressing,1
GSM4586573,normoxia_VC_1,vector control,1,vector control,1
GSM4586574,normoxia_WT_1,wild type,1,wild type,1
GSM4586575,hypoxia_KD_2,knock down,2,knock down,2
GSM4586576,hypoxia_OE_2,overexpressing,2,overexpressing,2
GSM4586577,hypoxia_VC_2,vector control,2,vector control,2
GSM4586578,hypoxia_WT_2,wild type,2,wild type,2
GSM4586579,normoxia_KD_2,knock down,2,knock down,2
GSM4586580,normoxia_OE_2,overexpressing,2,overexpressing,2
GSM4586581,normoxia_VC_2,vector control,2,vector control,2
GSM4586582,normoxia_WT_2,wild type,2,wild type,2
GSM4586583,hypoxia_KD_3,knock down,3,knock down,3
GSM4586584,hypoxia_OE_3,overexpressing,3,overexpressing,3
GSM4586585,hypoxia_VC_3,vector control,3,vector control,3
GSM4586586,hypoxia_WT_3,wild type,3,wild type,3
GSM4586587,normoxia_KD_3,knock down,3,knock down,3
GSM4586588,normoxia_OE_3,overexpressing,3,overexpressing,3
GSM4586589,normoxia_VC_3,vector control,3,vector control,3
GSM4586590,normoxia_WT_3,wild type,3,wild type,3
