iter	Passed	Remaining
0	3	1166
1	6	1198
2	7	887
3	16	1464
4	19	1384
5	21	1226
6	39	1977
7	41	1778
8	42	1619
9	44	1519
10	45	1408
11	45	1305
12	48	1270
13	49	1204
14	55	1256
15	63	1346
16	64	1280
17	65	1226
18	66	1171
19	78	1315
20	82	1305
21	83	1259
22	91	1320
23	92	1278
24	94	1238
25	95	1201
26	96	1165
27	97	1133
28	98	1103
29	99	1072
30	99	1041
31	114	1155
32	115	1125
33	118	1118
34	121	1107
35	122	1078
36	124	1062
37	125	1040
38	127	1029
39	128	1010
40	130	995
41	131	975
42	134	971
43	134	951
44	135	931
45	136	913
46	139	911
47	142	907
48	142	888
49	144	879
50	146	868
51	148	862
52	149	849
53	151	839
54	153	835
55	157	839
56	159	829
57	160	817
58	167	835
59	169	831
60	172	829
61	173	818
62	180	834
63	181	824
64	183	814
65	191	835
66	197	844
67	199	837
68	205	849
69	206	839
70	213	850
71	218	854
72	220	849
73	231	877
74	236	878
75	238	872
76	239	860
77	240	850
78	243	849
79	244	838
80	246	829
81	247	820
82	248	809
83	248	799
84	249	790
85	251	782
86	258	793
87	260	786
88	264	786
89	264	776
90	265	766
91	266	758
92	267	751
93	268	742
94	269	733
95	269	725
96	270	716
97	271	708
98	272	702
99	273	694
100	274	687
101	275	680
102	276	672
103	277	666
104	278	660
105	279	653
106	279	645
107	280	639
108	281	632
109	282	625
110	282	619
111	283	612
112	284	605
113	284	599
114	285	593
115	286	587
116	287	582
117	288	576
118	289	571
119	290	566
120	291	561
121	292	555
122	293	550
123	294	545
124	295	540
125	296	535
126	296	530
127	297	525
128	298	520
129	299	516
130	300	511
131	301	506
132	302	502
133	302	497
134	303	492
135	304	487
136	305	483
137	305	478
138	306	474
139	307	470
140	308	466
141	309	462
142	310	458
143	311	454
144	313	451
145	314	447
146	315	443
147	316	439
148	316	435
149	317	431
150	318	427
151	318	423
152	319	419
153	320	416
154	321	413
155	322	409
156	323	406
157	324	402
158	325	399
159	326	395
160	327	392
161	327	388
162	328	385
163	329	381
164	330	378
165	331	375
166	332	371
167	333	368
168	334	365
169	335	362
170	336	360
171	337	357
172	338	354
173	339	351
174	340	348
175	342	345
176	343	343
177	343	339
178	344	336
179	345	333
180	346	330
181	346	327
182	347	324
183	348	322
184	349	319
185	350	316
186	351	313
187	352	311
188	353	308
189	354	305
190	354	302
191	358	302
192	358	299
193	359	296
194	362	295
195	363	293
196	364	290
197	370	291
198	371	289
199	372	286
200	372	283
201	373	281
202	376	280
203	377	277
204	379	275
205	381	273
206	382	271
207	382	268
208	385	267
209	386	265
210	387	262
211	388	260
212	389	257
213	391	255
214	392	253
215	393	251
216	393	248
217	394	246
218	395	243
219	396	241
220	396	238
221	398	237
222	399	234
223	399	232
224	401	230
225	403	228
226	403	225
227	404	223
228	405	221
229	406	218
230	406	216
231	407	214
232	408	212
233	409	210
234	410	207
235	411	205
236	412	203
237	412	201
238	413	198
239	416	197
240	417	195
241	418	193
242	419	191
243	419	189
244	420	187
245	421	185
246	422	182
247	422	180
248	428	180
249	430	179
250	432	177
251	436	176
252	439	175
253	448	176
254	454	176
255	455	174
256	461	174
257	472	175
258	473	173
259	486	175
260	486	173
261	488	171
262	491	170
263	492	167
264	492	165
265	494	163
266	495	161
267	496	159
268	497	157
269	497	154
270	502	153
271	503	151
272	504	149
273	508	148
274	509	146
275	510	144
276	510	142
277	511	139
278	512	137
279	513	135
280	513	133
281	515	131
282	517	129
283	517	127
284	518	125
285	519	123
286	520	121
287	522	119
288	524	117
289	525	115
290	525	113
291	527	112
292	530	110
293	532	108
294	534	106
295	536	105
296	538	103
297	539	101
298	539	99
299	540	97
300	541	95
301	542	93
302	543	91
303	544	89
304	544	87
305	545	85
306	547	83
307	548	81
308	549	79
309	551	78
310	551	76
311	552	74
312	554	72
313	555	70
314	556	68
315	557	66
316	558	65
317	558	63
318	559	61
319	560	59
320	561	57
321	561	55
322	562	53
323	563	52
324	564	50
325	565	48
326	566	46
327	566	44
328	567	43
329	568	41
330	568	39
331	570	37
332	571	36
333	573	34
334	573	32
335	574	30
336	575	29
337	576	27
338	576	25
339	577	23
340	578	22
341	579	20
342	580	18
343	581	16
344	582	15
345	583	13
346	583	11
347	584	10
348	586	8
349	587	6
350	588	5
351	589	3
352	589	1
353	590	0
9
339	1335	55
340	1336	50
341	1337	46
342	1338	42
343	1339	38
344	1340	34
345	1363	31
346	1366	27
347	1367	23
348	1367	19
349	1368	15
350	1369	11
351	1373	7
352	1374	3
353	1376	0
