Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
AdaBoost,0.9305555555555556,0.9433333333333334,0.93,0.9290043290043289,0.99
Gradient Boosting,0.8861111111111111,0.9100000000000001,0.89,0.884004329004329,0.905
CatBoost,0.8638888888888889,0.8783333333333333,0.8649999999999999,0.8617821067821068,0.95
Ensemble,0.8194444444444443,0.8450000000000001,0.825,0.8173376623376623,0.87375
Random Forest,0.8194444444444443,0.8283333333333334,0.8149999999999998,0.8162265512265513,0.8925000000000001
XGBoost,0.75,0.7754761904761904,0.75,0.7344444444444445,0.835
Logistic Regression,0.6805555555555556,0.7999999999999999,0.695,0.6523376623376624,0.9075
MLP,0.6805555555555556,0.7999999999999999,0.695,0.6523376623376624,0.9
SVM,0.6805555555555556,0.7999999999999999,0.695,0.6523376623376624,0.6
KNN,0.6138888888888889,0.6366666666666666,0.625,0.6088095238095239,0.6
Naive Bayes,0.5472222222222223,0.6599999999999999,0.5700000000000001,0.5058441558441558,0.7875
