Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
AdaBoost,0.8861111111111111,0.8966666666666667,0.8800000000000001,0.881096681096681,0.94375
Random Forest,0.8638888888888889,0.8897619047619048,0.8550000000000001,0.8562265512265512,0.95
Ensemble,0.861111111111111,0.8833333333333334,0.8550000000000001,0.8531601731601732,0.9375
CatBoost,0.861111111111111,0.8883333333333333,0.8550000000000001,0.8549134199134197,0.9349999999999999
Gradient Boosting,0.8388888888888889,0.8714285714285713,0.8300000000000001,0.8265367965367965,0.915
XGBoost,0.8138888888888889,0.8364285714285714,0.805,0.8054329004329004,0.8425
Logistic Regression,0.6805555555555556,0.7999999999999999,0.695,0.6523376623376624,0.9075
SVM,0.6805555555555556,0.7999999999999999,0.695,0.6523376623376624,0.6
MLP,0.6583333333333333,0.7928571428571428,0.675,0.6224675324675324,0.925
KNN,0.6138888888888889,0.6366666666666666,0.625,0.6088095238095239,0.6125
Naive Bayes,0.5694444444444444,0.6833333333333333,0.5900000000000001,0.5257142857142856,0.8074999999999999
